UTM 10X10,COUNTRY,Tmax30-REM 1971-2000,Tmax30nd5d-REM 1971-2000,TmaxAvemin-REM 1971-2000,TmaxAvemin5d-REM 1971-2000,Tmax30-WRA 1971-2000,Tmax30nd5d-WRA 1971-2000,TmaxAvemin-WRA 1971-2000,TmaxAvemin5d-WRA 1971-2000,Tmax30-WRB 1971-2000,Tmax30nd5d-WRB 1971-2000,TmaxAvemin-WRB 1971-2000,TmaxAvemin5d-WRB 1971-2000,Tmax30-PRO 1971-2000,Tmax30nd5d-PRO 1971-2000,TmaxAvemin-PRO 1971-2000,TmaxAvemin5d-PRO 1971-2000,Tmax30-MM5 1971-2000,Tmax30nd5d-MM5 1971-2000,TmaxAvemin-MM5 1971-2000,TmaxAvemin5d-MM5 1971-2000,PrAvemax-REM 1971-2000,PrAvemax5d-REM 1971-2000,Pr1mm-REM 1971-2000,Pr1mm5d-REM 1971-2000,PrAvemax-WRA 1971-2000,PrAvemax5d-WRA 1971-2000,Pr1mm-WRA 1971-2000,Pr1mm5d-WRA 1971-2000,PrAvemax-WRB 1971-2000,PrAvemax5d-WRB 1971-2000,Pr1mm-WRB 1971-2000,Pr1mm5d-WRB 1971-2000,PrAvemax-PRO 1971-2000,PrAvemax5d-PRO 1971-2000,Pr1mm-PRO 1971-2000,Pr1mm5d-PRO 1971-2000,PrAvemax-MM5 1971-2000,PrAvemax5d-MM5 1971-2000,Pr1mm-MM5 1971-2000,Pr1mm5d-MM5 1971-2000,Hum-relat-REM 1971-2000,Hum-relat-WRA 1971-2000,Hum-relat-WRB 1971-2000,Hum-relat-PRO 1971-2000,Hum-relat-MM5 1971-2000,Tmax30-REM 2021-2050,Tmax30nd5d-REM 2021-2050,TmaxAvemin-REM 2021-2050,TmaxAvemin5d-REM 2021-2050,Tmax30-WRA 2021-2050,Tmax30nd5d-WRA 2021-2050,TmaxAvemin-WRA 2021-2050,TmaxAvemin5d-WRA 2021-2050,Tmax30-WRB 2021-2050,Tmax30nd5d-WRB 2021-2050,TmaxAvemin-WRB 2021-2050,TmaxAvemin5d-WRB 2021-2050,Tmax30-PRO 2021-2050,Tmax30nd5d-PRO 2021-2050,TmaxAvemin-PRO 2021-2050,TmaxAvemin5d-PRO 2021-2050,Tmax30-MM5 2021-2050,Tmax30nd5d-MM5 2021-2050,TmaxAvemin-MM5 2021-2050,TmaxAvemin5d-MM5 2021-2050,PrAvemax-REM 2021-2050,PrAvemax5d-REM 2021-2050,Pr1mm-REM 2021-2050,Pr1mm5d-REM 2021-2050,PrAvemax-WRA 2021-2050,PrAvemax5d-WRA 2021-2050,Pr1mm-WRA 2021-2050,Pr1mm5d-WRA 2021-2050,PrAvemax-WRB 2021-2050,PrAvemax5d-WRB 2021-2050,Pr1mm-WRB 2021-2050,Pr1mm5d-WRB 2021-2050,PrAvemax-PRO 2021-2050,PrAvemax5d-PRO 2021-2050,Pr1mm-PRO 2021-2050,Pr1mm5d-PRO 2021-2050,PrAvemax-MM5 2021-2050,PrAvemax5d-MM5 2021-2050,Pr1mm-MM5 2021-2050,Pr1mm5d-MM5 2021-2050,Hum-relat-REM 2021-2050,Hum-relat-WRA 2021-2050,Hum-relat-WRB 2021-2050,Hum-relat-PRO 2021-2050,Hum-relat-MM5 2021-2050
WJ67,SPAIN,54.47,6.53,46,3.63,39.3,4.33,45.43,3.77,37.37,3.97,51.47,4.1,68.83,9.17,53.1,4.37,24.77,1.8,29.6,1.83,71.87,2,282.63,40.97,75,2.5,283.27,41.8,74.1,2.33,282.87,41.67,79.7,2.73,264.7,36.07,64.33,1.53,290.93,42.77,60.96,67.26,62.39,73.69,64.82,79.73,11.33,48,4.2,58.2,7.3,40.17,2.87,55.3,6.53,49.33,3.6,88.13,13.1,53.8,4.23,36.9,2.87,28.67,1.47,65.23,1.9,293.37,43.67,70.03,2,291.97,42.63,69.2,1.97,292.47,43.3,73.7,2.67,275.3,38.8,78.43,1.9,270.87,36.13,58.41,65.74,61.24,71.61,64.91
WJ68,SPAIN,47.83,5.07,47.87,3.97,35.97,3.87,47.47,3.8,33.17,3.43,54.87,4.43,62.63,8.07,53.57,4.33,22.27,1.57,31.57,1.9,74.2,2.63,277.03,39.43,75.43,2.73,280.43,40.93,75,2.57,280.73,41.27,79.6,3.03,262.7,35.57,65.1,1.73,287.87,41.83,61.56,67.52,62.81,74.76,65.19,72.7,9.93,49.37,4.3,54.73,6.6,42.7,3.07,51.17,6.1,51.37,3.93,83.4,12.3,54.9,4.5,33.4,2.6,30.47,1.43,67.47,2.17,288.9,42.37,70.53,2.17,289.2,41.8,69.23,2,290.8,43.6,74.47,2.67,272.5,38.43,79.7,2,267.87,35.6,59.03,65.99,61.68,72.77,65.33
WJ69,SPAIN,41.77,4.33,48.23,4,31.67,3.2,50.3,4.17,28.7,2.57,57.37,4.77,55.7,6.7,54.67,4.27,18.43,1.03,32.73,1.9,75.43,2.47,272.17,38.1,76.13,3,277.03,40.23,75.27,2.73,279.27,40.6,78.87,3,261.33,35.73,67.03,2.3,283.3,40.57,61.84,67.87,63.39,75.67,65.56,68.6,9.13,49.7,4.4,49.73,5.73,45.43,3.37,46.3,5.3,54.1,4.2,78.13,11.37,56.8,4.73,29.83,2.1,32,1.6,69.07,2.23,284.6,40.93,71.3,2.33,287.07,41.67,70.2,1.9,288.3,43.07,75.27,2.83,270.77,38.13,82.3,2.5,261.03,34.17,59.31,66.36,62.27,73.76,65.73
WJ70,SPAIN,70.97,9.03,45.5,3.33,36.8,3.43,45.77,3.57,34.7,3.23,49.77,3.7,76.17,10.5,38.57,2.73,26.87,1.87,28.63,1.73,61.47,0.93,303.77,44.53,66.17,1.47,300.57,46.13,63.87,1.37,301.97,46.37,65.17,1.47,298.17,43.57,60.9,0.73,299.13,44.4,55.21,64.85,61.01,70.01,63.76,95.33,14.2,45.6,3.77,56.87,6.43,39.73,2.7,54.67,6.13,45.87,3.4,95.7,14.7,37.07,2.37,39.07,3,27.57,1.67,54.23,0.9,313.3,47.93,60.6,1,311.47,46.87,59.57,1.13,312.2,47.7,63.8,1.87,305.87,46.3,76.8,1.6,278.1,37.13,52.42,63.11,59.37,67.67,63.4
WJ71,SPAIN,72.87,9.33,44.23,3.2,41.6,4.17,43.6,3.4,38.8,3.93,49,3.67,82.3,11.7,35.7,2.43,28.63,2.17,27.2,1.63,62.23,1.07,302.13,44.13,66.8,1.47,299.87,45.43,65.73,1.5,301.1,45.63,59.6,1.03,308.53,46.67,61.8,0.9,299.53,44.47,55.35,64.76,60.44,67.92,63.67,97.2,14.6,44.67,3.53,62,7.4,37.33,2.5,59.3,6.97,44.97,3.33,100.43,15.6,34.23,2.07,41.03,3.17,26.17,1.43,55.13,0.93,312.33,47.6,61.43,1.03,311.13,46.87,61.03,1.1,311.7,47.97,57.13,1.4,316,49.33,76.97,1.53,278.63,37.53,52.63,63.06,58.87,65.63,63.39
WJ72,SPAIN,72.03,9.2,42.6,3,45.17,4.87,40.7,3.03,42.6,4.63,47.2,3.43,80.4,11.27,39.03,2.7,29.9,2.3,25.53,1.53,61.83,1.07,303.17,44.83,68.2,1.43,298.83,45.03,67.7,1.63,299.5,45.27,60.17,1.1,307.1,45.97,60.97,0.7,301.33,45.43,56.42,65.14,60.41,66.1,63.59,96.07,13.8,43.33,3.4,65.37,8.13,34.5,2,62.2,7.57,43.4,2.93,99.5,15.6,36.87,2.33,42.7,3.4,24.8,1.27,54.7,0.93,312.77,47.83,64.3,1.17,308.4,46.37,62.83,1.1,309.53,47.5,57.47,1.1,314.7,48.53,75.87,1.63,280.87,37.9,53.72,63.52,58.96,64,63.39
WJ73,SPAIN,70.77,9.03,41.07,2.97,47.8,5.53,38.77,3.1,44.97,5.1,45.6,3.5,76.8,10.63,44.23,3.13,30.9,2.37,24.23,1.33,61.37,1,304.67,45.47,69.2,1.63,298.17,45.13,68,1.6,298.2,44.93,60.4,1.13,305.33,45.47,60.53,0.93,302,45.57,57.46,65.59,60.53,64.78,63.61,94.63,13.4,42.17,3.3,67.43,8.57,32.5,1.8,64.3,8.03,41.83,2.83,97.27,15.23,41.63,2.6,43.87,3.53,24,1.13,54.13,0.83,314.13,48.27,64.97,1.23,308.53,46.8,64.03,1.1,308.03,47.17,57.93,1.13,312.8,47.63,74.2,1.63,283.77,39.13,54.8,64.03,59.19,62.87,63.49
WJ74,SPAIN,68.77,8.83,41.13,3.1,47.93,5.73,38.17,3,45.17,5.1,45.07,3.47,74.23,9.9,48.37,3.6,30.37,2.33,24.27,1.27,64.5,1.23,299.2,44.4,69.33,1.53,296.57,44.03,68.07,1.43,296.9,44.9,63.53,1.1,297.63,43.47,61.47,1.13,299.27,45.23,58.41,66.1,60.86,65.25,63.91,91.73,13.07,42.63,3.47,67.73,8.7,32.07,1.73,64.63,8.07,41.57,2.73,94.53,14.7,46.77,3.37,42.57,3.33,24.37,1.13,57.57,1.07,309.2,47.07,65.47,1.27,306.53,46.27,64.1,1,306.03,46.5,61.4,1.07,305.63,45.3,75.6,1.73,281.4,38.93,55.81,64.57,59.61,63.41,63.86
WJ75,SPAIN,65.93,8.3,40.97,3.2,45.23,5.2,39.77,3.13,42.77,4.8,46.63,3.5,74.53,10.23,48.77,3.67,29.3,2.27,24.8,1.27,64.9,1.23,297.67,43.8,71.6,1.77,291.43,43.03,70.73,1.8,291.3,44.07,73.3,1.87,279.3,38.7,61.83,1.13,298.2,44.6,59.36,66.57,61.42,68.86,64.21,88.63,12.87,42.97,3.5,64.43,8.17,33.57,2.03,61.97,7.67,42.93,3,94.37,14.47,47.57,3.4,41.07,3.13,24.4,1.1,58.77,1.27,306.47,46.57,66.5,1.37,301.67,45,65.93,1.2,302.47,45.7,70.03,1.87,288.83,41.07,74.93,1.73,281.57,38.83,56.82,65.07,60.24,66.86,64.22
WJ76,SPAIN,60.77,7.43,42.7,3.4,41.9,4.6,42.77,3.53,39.67,4.23,48.4,3.57,72.7,9.93,50.43,4.03,26.93,2.03,26.43,1.47,68.37,1.67,289.7,42.87,72.3,1.8,288.83,42.87,71.77,2.07,289.17,43.3,76.7,2.13,270.4,36.77,63.07,1.37,294.9,43.73,60.21,67.01,62.05,72.1,64.57,84.2,12.33,44.43,3.67,60.57,7.6,36.27,2.23,58.63,7.1,44.77,3.17,92.53,14.17,50.23,3.73,38.53,2.97,26.17,1.27,62.77,1.6,299.3,44.67,67.47,1.63,297.8,43.83,67,1.5,298.43,44.57,73.5,2.3,280.2,39.7,76.97,1.83,276.8,37.53,57.71,65.51,60.91,70.01,64.63
WJ77,SPAIN,52.63,6.13,45.83,3.67,37.73,4,45,3.6,35.33,3.6,50.73,4,67.6,9.03,52.8,4.17,23.57,1.57,29,1.83,72.53,2.43,281.47,40.6,74.07,2.33,284.7,42.03,73.3,2.3,285.27,42.13,78.5,2.37,265.2,35.8,63.63,1.5,292.03,42.8,61.02,67.29,62.54,74.21,64.95,77.53,10.8,47.47,4.1,56.67,7,39.2,2.6,53.6,6.33,47.63,3.4,87.4,12.97,52.8,3.87,35.17,2.6,27.7,1.37,65.77,1.87,292,43.1,69,1.83,293.93,43.17,69.03,1.8,293.9,43.37,73.67,2.43,275.8,38.9,78.83,1.93,271.73,36.13,58.56,65.78,61.41,72.15,65.06
WJ78,SPAIN,42.9,4.43,48.83,3.97,33.77,3.47,47,3.8,30.97,2.87,53.43,4.3,61.63,7.8,53.2,4.23,20.9,1.33,30.77,1.93,73.93,2.4,275.97,39,76.23,2.67,281,40.93,73.9,2.43,281.73,41.33,79.43,2.73,262.2,35.3,64.5,1.57,289.53,42.27,61.78,67.62,63.08,75.19,65.33,69.17,9.37,50.03,4.3,52.03,6.03,42.33,3,48.83,5.63,50.13,3.7,82.73,12.2,53.6,4.07,31.93,2.3,29.57,1.43,66.47,2.13,287.8,42.23,70.8,2.13,290.1,42.33,69.67,1.77,290.63,43.43,73.97,2.53,273.07,38.03,79.73,1.93,267.8,35.3,59.34,66.11,61.95,73.21,65.48
WJ79,SPAIN,37.47,3.53,48.67,3.97,29.47,2.73,50.3,4.07,26.7,2.33,56.53,4.67,55.13,6.67,54.23,4.07,16.83,0.93,32.13,2,75.67,2.6,272.03,38.33,76.8,2.93,277.47,40.1,74.87,2.53,279.77,41.17,79.13,2.8,261.43,35.57,66.23,2.1,283.67,40.67,62.09,68.08,63.79,76.05,65.71,64.03,8.3,50.03,4.4,46.77,5.03,45.4,3.27,43.17,4.73,53.03,4.07,79.63,11.7,55.97,4.5,27.87,1.83,31.3,1.6,68.77,2.3,283.83,41.07,71.23,2.23,287.67,42.07,69.97,1.83,288.73,43.2,75.33,2.77,272.13,38.27,82.6,2.43,261.4,34.13,59.63,66.59,62.66,74.16,65.89
WJ80,SPAIN,71.6,9.2,44,3.2,38.77,3.6,41.6,3.3,36.37,3.5,46,3.43,80.27,11.23,33.8,2.2,28.07,1.87,25.93,1.43,63.03,1,302.17,44.33,64.83,1.57,303.67,46.7,63.83,1.37,304.63,47,57.37,1.2,310.13,47.7,59.27,0.6,303,45.6,55.4,64.82,60.84,68.6,63.72,96.07,14.2,44.13,3.53,58.57,6.73,35.73,2.03,56.27,6.53,42.2,2.8,98.97,15.47,32.17,2.07,40.43,3.07,25.03,1.37,55.33,0.87,312.77,47.87,59.03,1.03,314.9,48.67,59.1,1,314.77,49.1,55.97,1.7,315.97,49.87,74.93,1.33,282.93,38.3,52.7,63.21,59.35,66.36,63.45
WJ81,SPAIN,74.13,9.6,43.5,3.13,43.67,4.57,39.57,3.1,40.93,4.27,44.5,3.4,85.97,12.57,31.33,1.97,29.2,2.1,24.7,1.4,63.83,1.07,299.63,44.03,64.93,1.43,304.73,46.8,64,1.5,304.53,46.53,52,0.93,317.77,49.63,60,0.73,303.6,45.8,55.38,64.76,60.28,66.72,63.68,98.47,14.7,43.93,3.63,63.5,7.57,33.27,1.93,60.83,7.23,40.63,2.67,103.4,15.93,30.6,1.8,41.83,3.3,23.93,1.17,56.77,0.97,309.6,46.67,59.5,0.93,315.03,48.3,59.3,0.93,315.2,48.97,49.13,1.2,324.53,51.8,74.63,1.33,284.03,38.73,52.73,63.19,58.86,64.53,63.47
WJ82,SPAIN,72.8,9.23,41.47,2.97,47.03,5.03,37.27,2.83,44.1,4.83,43.03,3.2,85.2,12.43,33.77,2.17,30.93,2.27,23.43,1.17,62.4,1.03,301.67,44.43,65.4,1.33,303.77,46.27,64.7,1.47,303.53,46.6,53.07,0.83,315.57,48.73,60.07,0.83,304.2,46.13,56.43,65.03,60.15,65.87,63.61,97.03,14.1,42.7,3.43,67.03,8.07,30.83,1.73,64.07,7.83,39.67,2.63,102.77,16,32.17,1.8,43.17,3.33,22.73,1,56.17,0.97,311.33,47.2,61.87,1.03,313.83,47.93,60.13,0.93,314.2,48.6,49.7,0.97,322.93,51.1,74.07,1.37,285.83,39.17,53.82,63.51,58.82,63.75,63.48
WJ83,SPAIN,71.53,9.17,40.27,2.93,48.7,5.53,36.2,2.73,45.27,5.03,41.93,3.2,80.6,11.3,38.33,2.6,31.53,2.37,22.97,1.27,60.07,0.97,305.8,45.73,66.67,1.5,302.17,45.6,64.9,1.33,302.53,46.13,58.8,1.07,307.5,46,59.23,0.87,304.43,46.4,57.49,65.54,60.39,65.97,63.66,95.23,13.63,41.7,3.27,68.33,8.47,29.6,1.63,65.47,8.2,38.5,2.33,99.57,15.67,36.23,2.2,44.4,3.53,22,0.97,53.47,0.77,314.93,48.77,62.27,1.17,312.07,47.93,60.67,0.8,312.8,48.7,55.23,0.9,315.83,48.37,72.33,1.47,286.8,39.67,54.9,64.07,59.16,63.94,63.59
WJ84,SPAIN,68.93,8.8,40.33,3.07,48.9,5.6,35.8,2.63,45.57,5.07,42.13,3.2,78.47,10.87,42.57,2.93,30.13,2.33,23.37,1.23,62.07,1.03,302.9,45.43,66.23,1.53,300.87,45.17,65.47,1.17,300.8,45.57,61.23,1.13,301.07,44.33,60.5,1.03,301.87,45.8,58.44,66.1,60.77,66.64,63.99,92,13.27,41.87,3.3,68.43,8.7,29.47,1.53,65.8,8.1,38.77,2.37,97.73,15.13,39.93,2.6,42.3,3.17,22.67,1.03,56.17,0.93,310.83,47.7,61.83,1,310.13,47.43,61.33,0.67,310.6,47.87,58.5,1.17,309.8,46.73,73.63,1.57,285.03,39.57,55.91,64.65,59.62,64.65,63.98
WJ85,SPAIN,65.73,8.23,40.6,3.17,45,5.07,38.03,2.9,42.67,4.63,43.93,3.3,76.2,10.43,44.3,3.2,29.07,2.13,23.93,1.27,62.77,1.2,300.93,44.63,69.4,1.67,294.63,43.43,68.9,1.47,294.37,44.2,69.1,1.57,286.4,40.43,60.5,1,300.27,45.27,59.38,66.48,61.32,69.35,64.31,88.53,12.57,42.5,3.4,64.6,8.13,32.1,1.83,62.27,7.63,40.67,2.5,95.3,14.67,42.1,2.8,40.6,3.13,23.57,1.07,57.3,1.07,308.77,46.93,65.23,1.4,304.37,46,64.53,1,305.47,46.27,65.93,1.5,295.27,42.77,74.43,1.67,284.5,39.53,56.91,65.01,60.2,67.31,64.36
WJ86,SPAIN,60.73,7.33,42.17,3.4,41.37,4.27,40.77,3.23,38.7,3.97,46.77,3.63,72.6,9.93,46.5,3.43,26.43,1.87,25.83,1.47,66,1.5,294.63,43.63,71.97,1.67,290.2,42.67,70.9,1.93,290.63,43.77,74.67,1.97,273.57,37.3,61.97,1.2,296.67,44.13,60.26,66.82,61.9,72.28,64.68,83.63,12,43.9,3.6,59.93,7.37,35.03,2.1,57.5,6.8,43.03,2.93,92,13.9,45.63,3.03,37.47,2.8,25.27,1.13,60.5,1.23,303.53,45.53,66.67,1.47,300.03,44.77,65.93,1.23,300.5,44.9,71.43,1.97,284.8,40.47,76.07,1.87,278.8,38.03,57.84,65.34,60.8,70.2,64.78
WJ87,SPAIN,51.53,5.8,45.03,3.63,36.9,3.67,44.4,3.53,34.77,3.4,49.63,3.83,67,8.8,52,4.07,22.9,1.5,28.3,1.77,71.17,2.27,282.97,40.8,73.33,2.07,286.97,41.87,71.73,1.9,288.2,42.97,75.97,2.17,268.27,36.4,63.17,1.43,293.53,43.33,60.97,67.16,62.5,74.84,65.07,76.57,10.57,46.83,3.87,55.37,6.63,38.2,2.53,52.53,6.07,46.17,3.23,88.3,13.07,51.57,3.9,33.77,2.37,26.73,1.23,64.43,1.9,293.73,43.4,66.37,1.63,296.8,43.57,67.07,1.37,297.47,44.5,72.2,2.2,278.3,39.03,78.47,1.97,273.23,36.5,58.58,65.65,61.4,72.79,65.2
WJ88,SPAIN,42.17,4.4,47.57,3.87,32.17,3.07,46.6,3.67,29.43,2.57,51.97,4,59.23,7.27,52.33,4.1,19.4,1.1,30.07,1.93,72.7,2.3,278.37,39.5,75.57,2.63,282.97,41.1,73.27,2.33,284.3,42.07,78.3,2.37,263.73,35.5,63.77,1.6,290.5,42.67,61.66,67.59,63.18,75.53,65.46,68.2,9,48.9,4.13,49.93,5.43,41.33,2.9,46.87,5.2,48.6,3.5,80.4,11.67,52.47,3.9,30.67,2.2,29.27,1.4,65.63,2,290.2,42.43,69.53,2,291.87,42.5,69.57,1.6,293.07,43.57,74.07,2.3,272.1,37.67,79,2,269.03,35.73,59.29,66.1,62.08,73.59,65.63
WJ89,SPAIN,37.53,3.57,47.8,3.9,27.87,2.33,49.6,3.87,24.93,2.13,55.33,4.53,50.9,6,53.13,4.07,15.2,0.83,31.87,2.03,75.47,2.5,274.1,38.6,75.87,2.73,278.83,40.4,73.87,2.3,281.3,41.4,79.43,2.53,259.4,34.7,66.03,1.97,285.43,41.23,61.88,68.16,64.04,76.22,65.86,63.07,8.17,48.97,4.2,44,4.53,44.7,3.3,41.27,4.1,51.23,3.87,74.57,10.67,54.1,4.2,26,1.63,31.03,1.6,67.63,1.97,286.83,41.87,70.57,2.13,288.43,41.9,69.87,1.73,290.47,43.17,75.37,2.43,268.63,36.6,82.77,2.33,262.9,34.5,59.48,66.69,62.92,74.39,66.06
WJ90,SPAIN,72.23,9.33,42.6,3,40.57,3.9,37.97,3,37.93,3.57,42,2.97,81.9,11.5,32.33,2.03,28.47,1.97,24.33,1.27,62.97,1,302.23,44.33,61.57,1.27,309.2,48.17,61.73,1.13,308.07,48.1,54,0.87,315.57,49.13,57.13,0.7,306.13,46.9,55.64,64.73,60.64,67.55,63.85,96.43,14.27,41.93,3.3,60.03,6.87,32.03,1.73,57.83,6.63,38.67,2.47,100.83,15.57,30.87,1.77,40.87,3.1,23.1,1.13,55.6,0.8,312.73,47.57,55.4,0.97,319.23,49.77,57.1,0.63,319.03,50.1,51.27,1.2,321.27,50.1,73.9,1.4,286.67,39.37,53.03,63.24,59.28,65.37,63.65
WJ91,SPAIN,75.57,9.87,42.93,2.97,45.4,4.8,35.57,2.6,42.73,4.4,40.37,2.9,83.43,12.13,32.07,2.03,29.23,2.07,23.43,1.17,63.5,1.1,298.93,43.67,60.67,1.2,309.6,48.07,61.7,1.23,308.63,47.9,54,0.97,315.53,48.93,58.77,0.77,305.83,46.67,55.4,64.72,60.11,66.8,63.84,99.37,14.97,42.97,3.4,65.63,7.87,29,1.4,62.87,7.63,37.17,2.3,101.43,15.93,30.63,1.8,42.07,3.27,22.43,1.03,56.37,0.9,309.3,46.37,56.07,0.97,319.47,49.47,56.33,0.7,319.33,50.37,50.53,0.97,322.8,50.77,73.67,1.33,287.07,39.67,52.83,63.28,58.83,64.61,63.7
WJ92,SPAIN,74.3,9.6,41,2.9,49.33,5.53,34.2,2.43,46.17,5.03,39.2,2.83,85.6,12.6,31.37,2.17,30.47,2.2,22.63,1.17,62.03,1.03,301.3,44.33,59.97,1.1,310.27,48.07,60.9,0.93,309,47.9,53.93,0.7,315.7,48.07,58.97,0.93,306.33,47,56.46,64.92,59.87,66.5,63.79,98.07,14.27,41.97,3.3,69.17,8.47,27.23,1.47,66.17,8.13,36.1,2.23,104,16.17,30.07,1.57,43,3.5,21.83,0.97,56.03,0.9,310.87,46.97,56.73,1.03,318.33,49.03,56.27,0.63,319.57,49.93,49.13,0.87,323.03,51,72.7,1.37,288.83,39.9,53.91,63.5,58.65,64.26,63.71
WJ93,SPAIN,72.33,9.13,39.57,2.9,48.6,5.37,34.5,2.53,45.2,4.87,39.7,3.07,82.93,12.13,34.3,2.4,30.97,2.2,22.27,1.07,59.97,0.93,305.3,45.73,64.33,1.33,305,46.47,63.5,1.4,305.1,47.2,57.23,0.8,308.77,46.3,58.17,0.97,306.73,46.8,57.49,65.52,60.36,67.06,63.83,96.03,13.77,40.5,3.1,68.07,8.3,27.77,1.3,65.33,8.03,36.5,2.1,101.17,15.87,32.67,1.77,43.57,3.43,21.57,0.9,53.2,0.87,313.7,48.3,60.4,1.13,314.33,48.7,59.57,0.8,315.47,49,53.27,0.8,317.4,49,71.13,1.57,289.93,40.37,54.97,64.1,59.2,64.89,63.8
WJ94,SPAIN,68.63,8.63,39.67,3,47.87,5.3,35.07,2.57,44.33,4.67,40.6,2.97,81.43,11.6,36.73,2.6,29.87,2.1,22.93,1.2,60.37,0.9,305.4,45.87,66.63,1.43,301.4,45.47,65.7,1.43,301.3,46.03,59.57,0.97,303.8,45.4,59.3,1.03,303.9,46.33,58.33,65.97,60.74,68.19,64.11,92.2,13.23,41.2,3.2,66.83,8.27,28.47,1.47,64.77,8,37.13,2.17,99.67,15.5,35.07,2.07,41.57,3.23,22.4,1.03,54.57,0.83,312.9,48.67,62.7,1.1,310.9,47.83,61.23,0.73,312,48.27,56.7,0.97,312.27,47.03,72.93,1.53,287.7,40.03,55.86,64.54,59.64,66.04,64.13
WJ95,SPAIN,64.57,8.03,40.2,3.07,45.8,4.87,36.47,2.7,42.7,4.37,41.7,2.93,80.13,11.2,38.47,2.83,28.3,1.93,23.83,1.37,61.57,0.97,303.03,45.17,68.23,1.63,298.27,44.77,66.87,1.4,298.17,45.23,62.73,1.07,296.37,43.03,59.63,1,302.37,45.93,59.1,66.3,61.15,70.19,64.38,87.43,12.43,42.1,3.43,64.83,8.03,30.33,1.73,62.2,7.5,38.67,2.37,98.47,15.07,36.77,2.17,39.6,2.87,23.63,1.07,56.1,1.03,310.7,47.7,64.37,1.3,307.07,46.77,62.67,0.8,308.27,46.67,60.43,1.27,303.87,45.1,73,1.6,286.5,39.9,56.7,64.87,60.1,68.03,64.46
WJ96,SPAIN,59.9,7.3,41.37,3.13,41.07,4.17,39.17,3,38.43,3.9,44.63,3.1,73.3,9.93,41.9,3.07,26,1.8,25.53,1.43,62.67,1.1,300.83,44.7,70.2,1.67,293.03,43.33,69.37,1.67,293.33,44.03,71.5,1.73,279.93,38.9,60.83,1.2,298.9,44.8,59.84,66.64,61.74,72.32,64.72,83.07,11.77,43.53,3.57,59.23,7.03,33.4,2.03,57.13,6.6,41.33,2.67,92.4,13.7,41.33,2.7,36.57,2.53,24.73,1.1,56.93,1.1,308.87,47.2,65.9,1.4,302.6,45.23,64.33,1,303.73,45.57,67.73,1.77,289.87,41.2,75.43,1.93,280.93,38.63,57.49,65.18,60.7,70.23,64.84
WJ97,SPAIN,52.33,5.83,43.77,3.43,36.4,3.43,42.87,3.37,34.03,3.23,48.2,3.7,66.07,8.47,47.33,3.5,21.8,1.37,27.47,1.7,68.1,1.67,289.47,42.7,71.23,1.97,290.27,42.47,69.87,1.7,291.03,43.33,75.17,1.83,271.87,37.07,61.93,1.4,295.17,43.53,60.53,66.96,62.35,74.22,65.09,76.67,10.7,44.97,3.7,54.13,5.87,37.2,2.4,51.9,5.83,44.33,2.97,86.87,12.83,46.7,3.23,32.77,2.23,26.33,1.13,62.3,1.57,299,44.6,65.43,1.4,300.33,44.7,64.63,1.03,300.73,45.03,70.83,1.87,281.5,39.53,77.83,2.13,275.23,37.2,58.2,65.47,61.29,72.24,65.25
WJ98,SPAIN,45.03,5,45.57,3.6,31.43,2.83,45.3,3.47,28.67,2.43,50.47,3.9,56.8,7.13,50.63,3.87,18.2,0.9,29.37,1.83,70.57,1.9,284.8,41.33,72.97,2.13,286.43,41.9,71.93,2,286.93,42.33,77.63,2.2,265.83,35.77,62.8,1.53,292.3,42.97,61.23,67.44,63.13,75.44,65.46,69.9,9.3,46.9,4,48.67,4.9,40.13,2.83,46.07,4.83,47.23,3.23,78,11.13,50.3,3.67,29.3,1.93,28.43,1.33,63.1,1.67,296.73,44.03,67.5,1.7,295.27,43.33,67.2,1.5,295.73,43.87,73.7,2.2,274.13,37.43,78.67,2.03,271.03,36.13,58.9,65.96,62.05,73.57,65.65
WJ99,SPAIN,39.4,3.87,46.57,3.77,26.2,2.13,48.33,3.87,23.83,1.97,53.33,4.23,47.9,5.43,51.27,3.9,14.37,0.7,31.2,1.97,71.07,1.87,281.33,40.4,74.93,2.6,281.57,40.9,72.93,2.2,283.2,41.43,79.47,2.53,260.03,34.27,65.13,1.93,287.3,41.73,61.59,68.02,64.07,76.24,65.88,64.07,8.4,47.6,4,41.9,4.17,43.57,3.17,39.87,3.8,49.07,3.57,72.2,10.03,52.2,3.9,24.6,1.57,30.53,1.57,64.67,1.67,294.07,43.67,70,2,290.73,42.2,69.37,1.8,292,43.23,75.27,2.2,267.8,36.13,81.53,2.23,264.2,34.57,59.23,66.6,62.98,74.47,66.09
